"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SVIP",-0.305103943545903,6.59249756483378,-3.31813113292987,0.0065372696661501,0.0201717403568119,-3.76944327942978
"SLC25A3",0.228244368099872,10.4859820997641,3.31778808529789,0.00654132175066551,0.0201754717359727,-3.77007185560916
"MAGOH",-0.115293349900739,9.62166409023507,-3.31637873534183,0.00655799583297491,0.0202181131305921,-3.77265423789539
"DAPP1",-0.342754383415084,7.14226066278144,-3.31149572830812,0.0066161018809503,0.020380116583296,-3.7816013375475
"H1-10",-0.253769164906146,9.64609125921948,-3.31138164629966,0.00661746565568382,0.020380116583296,-3.78181036652532
"RPLP0",0.150138786744222,10.3751209233346,3.3112400603044,0.00661915861976853,0.020380116583296,-3.78206979004164
"ZBTB7B",-0.285582313395345,7.3864198291604,-3.30972068980894,0.00663735368813405,0.0204272762899772,-3.78485367188207
"PGM3",0.0906666731692436,9.78107055489857,3.30815891212648,0.0066561095932757,0.020476120408963,-3.78771523063308
"STX5",-0.103359638551844,9.20619670428399,-3.30679890896067,0.00667248620052774,0.0205141586951342,-3.79020706872186
"RAB28",-0.156682635012798,6.7419822564288,-3.30665216639976,0.00667425566113354,0.0205141586951342,-3.79047593363508
"RPS15A",0.162029875326979,9.59389307485678,3.30598689782636,0.00668228362987456,0.0205299423901384,-3.79169485033872
"CHID1",-0.20710802501319,9.23995829141626,-3.30300403395893,0.00671839945132557,0.0206269318770749,-3.79716004698464
"WDR74",-0.21033813806947,7.99511208696666,-3.30289975965365,0.00671966556288532,0.0206269318770749,-3.79735109636892
"ATP6V1D",-0.248005371816904,8.33199627370459,-3.30255371855075,0.00672386897476222,0.0206309114197525,-3.7979851053758
"CIAO3",-0.135047576215348,7.34382935275849,-3.29996701353429,0.00675537481922917,0.0207186236352936,-3.80272436712253
"CDH6",-0.218421949017594,6.73076876336936,-3.29729715014068,0.0067880508685221,0.0208098475222036,-3.80761590645392
"INTS8",-0.155197229584445,7.11034863865059,-3.29015493304246,0.00687625502421507,0.0210711493552912,-3.82070094887532
"CMPK1",0.155260555124016,9.76156218011399,3.28697347546408,0.00691591900841563,0.0211835464836969,-3.82652938621997
"SSH1",-0.531849925270818,6.74667972566111,-3.28628377005657,0.0069245483343265,0.0212008280969436,-3.82779290964857
"WDR62",-0.268387429537908,5.92952050522033,-3.28456553408892,0.00694609382313145,0.021257623054232,-3.83094064669555
"TRPS1",-0.509790572887671,4.39180814057633,-3.2842855883742,0.0069496105930218,0.0212592182666706,-3.83145349164574
"NR3C1",-0.123271154146135,8.84910713804151,-3.28317549898484,0.00696357371109561,0.0212927542557714,-3.83348710240043
"ATP6V1E1",-0.167469480658134,9.54598475396609,-3.28200895999706,0.0069782775757658,0.0213285253898406,-3.83562410571878
"BLVRB",0.174457993597763,8.98721122099711,3.28169924748457,0.00698218670062237,0.0213312867043982,-3.83619147015317
"ETFDH",-0.177577329620483,8.94713283402398,-3.27949485324376,0.00701007440675679,0.0214072711122,-3.84022967331424
"ACAP1",1.33526793948663,5.52890042361619,3.27894675868916,0.00701702586981228,0.0214192828378743,-3.84123370967857
"CAMSAP3",-0.138479142504947,8.00126312124618,-3.27850337507176,0.0070226544089501,0.0214272477817364,-3.84204592615538
"MBTPS1",-0.515020196395944,4.22410475105935,-3.27699097801921,0.00704188806306271,0.0214698599293036,-3.84481640212041
"ORC5",-0.14615736972169,8.78249745734101,-3.27692952635309,0.00704267069401419,0.0214698599293036,-3.84492897125231
"EXOSC7",-0.122894688636316,8.68519887082521,-3.27528132075302,0.00706369475303778,0.0215247065960967,-3.84794818486404
"TSNAX",0.120745434041138,9.56399076563441,3.26974348368507,0.00713480171919328,0.0217320548502638,-3.85809217502494
"TARS2",-0.175608938285896,9.31575542881489,-3.26758531512399,0.00716270942073051,0.0218077000252786,-3.86204528334538
"OGDH",-0.133046552734005,10.2206045301097,-3.26599597606238,0.00718333229444658,0.0218575822262016,-3.8649564175049
"DNASE2",-0.183163141691167,6.5429465114633,-3.26584820230524,0.00718525282988985,0.0218575822262016,-3.86522708703337
"NAB2",-0.229847152421138,5.84785812285999,-3.26482700738449,0.007198538998216,0.0218886166539584,-3.86709754625161
