"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"QTRT2",-0.022294405651186,7.02224445348069,-0.300397711422884,0.769276326768844,0.838974421380582,-7.8210848338885
"TPST1",-0.0283844306663026,4.56565036431481,-0.300304561233713,0.769345573389436,0.838974421380582,-7.82111498136949
"TRAPPC3",-0.0137207075809158,8.61766298999773,-0.299293568211228,0.770097266590629,0.839665125363911,-7.82144159098157
"TMEM179B",-0.0198510108077299,4.27168980215058,-0.299040076964093,0.770285780842811,0.839741656934167,-7.82152331340887
"RBM12B",-0.0110018059893626,8.8999567278043,-0.297814472660113,0.771197445339625,0.84060639987334,-7.82191747141471
"EEF1A1",0.0359901240507305,9.63908032474443,0.297608496521016,0.771350695770537,0.840644331677442,-7.8219835575288
"NHEJ1",-0.0309198377128235,7.41482470232722,-0.297302125020437,0.771578661144175,0.840763666227577,-7.82208177156773
"CARD10",-0.0528495015886872,5.05195343871793,-0.296756475790515,0.771984724144341,0.841057296840472,-7.82225644461477
"PARVB",0.0144155693192483,7.28876338579807,0.296347379294822,0.772289213450547,0.841057296840472,-7.82238719720074
"CCDC6",0.0149604783127479,9.78466826226122,0.296027630389409,0.772527229355743,0.841057296840472,-7.82248926946458
"ARAP1",0.0159166389247076,8.21344812610157,0.296021674883516,0.772531662768611,0.841057296840472,-7.82249116958942
"DERA",-0.0116293503308214,9.49355287440908,-0.296003788351562,0.772544977957006,0.841057296840472,-7.82249687612325
"RBL2",-0.0266845483221103,3.85809614391734,-0.295862175927322,0.772650400525818,0.841057296840472,-7.82254204428092
"ABHD10",0.00918676985213729,9.116709376968,0.29582551767112,0.772677691334349,0.841057296840472,-7.82255373319018
"UQCRQ",-0.0211477318109097,8.23259768434022,-0.295572418533929,0.772866123635072,0.841133396632127,-7.82263439785973
"PLPP2",0.0323308728103378,6.42126774245353,0.295279800780917,0.773083996508599,0.841241509233598,-7.82272757267338
"KRT18",0.0282753720955959,10.3214755411097,0.294514047106416,0.773654245849103,0.841732972986522,-7.82297097242482
"TAB2",0.0428146558434364,3.42171013643874,0.294316691988161,0.773801236808166,0.841763853100484,-7.82303360213625
"CRYBG2",0.0157258106417348,8.48048582621449,0.293946365407941,0.774077082540774,0.841934874297605,-7.82315101192916
